statefips,countyfips,description,year,LaborForce,LabWorkRatio,Workforce,Live_in,Live_out,ctyin1,ctyin2,ctyin3,ctyin4,ctyin5,ctyout1,ctyout2,ctyout3,ctyout4,ctyout5,ctyind1,ctyind2,ctyind3,ctyind4,ctyind5,ctyoutd1,ctyoutd2,ctyoutd3,ctyoutd4,ctyoutd5
18,171,Warren,2016,5631,1.32994804,4234,3405,829,Fountain County,Illinois,Tippecanoe County,Benton County,Marion County,Tippecanoe County,Fountain County,Illinois,Benton County,Out of State,327,134,60,58,46,917,482,376,122,60
18,47,Franklin,2016,15554,1.445539033,10760,9362,1398,Ripley County,Dearborn County,Fayette County,Ohio (State),Decatur County,Ohio (State),Ripley County,Decatur County,Out of State,Dearborn County,394,133,128,127,99,2176,1608,583,272,260
18,125,Pike,2016,8465,1.375528112,6154,5204,950,Daviess County,Gibson County,Dubois County,Knox County,Marion County,Dubois County,Gibson County,Marion County,Vanderburgh County,Daviess County,156,133,107,97,94,1340,647,310,271,218
18,121,Parke,2016,9550,1.218423067,7838,7073,765,Vermillion County,Vigo County,Fountain County,Putnam County,Clay County,Vigo County,Vermillion County,Montgomery County,Putnam County,Clay County,275,130,62,55,54,967,343,229,226,207
18,175,Washington,2016,17171,1.339391576,12820,11893,927,Orange County,Clark County,Harrison County,Lawrence County,Scott County,Clark County,Kentucky,Floyd County,Scott County,Jackson County,132,127,100,91,85,1449,1031,889,364,303
18,7,Benton,2016,5634,1.25787006,4479,3693,786,Tippecanoe County,Warren County,Newton County,Illinois,Kentucky Out of State,Tippecanoe County,Newton County,Jasper County,Warren County,Out of State,266,122,64,55,48,1325,151,125,58,54
18,13,Brown,2016,10053,1.385856079,7254,6519,735,Monroe County,Bartholomew County,Johnson County,Morgan County,Marion County,Bartholomew County,Marion County,Johnson County,Monroe County,Morgan County,194,113,108,78,51,1188,719,587,529,133
18,155,Switzerland,2016,5734,1.356838618,4226,3734,492,Kentucky,Jefferson County,Ohio County,Ripley County,Dearborn County,Kentucky,Dearborn County,Jefferson County,Ohio County,Ohio (State),146,112,75,37,36,791,277,269,153,144
18,161,Union,2016,4780,1.449802851,3297,2846,451,Fayette County,Wayne County,Franklin County,Ohio (State),Warrick County,Ohio (State),Wayne County,Fayette County,Franklin County,Out of State,134,103,61,42,24,917,567,141,79,66
18,25,Crawford,2016,6603,1.381380753,4780,4174,606,Harrison County,Orange County,Perry County,Dubois County,Floyd County,Harrison County,Dubois County,Kentucky,Floyd County,Clark County,216,94,58,34,27,572,529,376,231,178
